"2017-06-09 15:01:59 Company: Douglas Institute"
"Trigger","Trigger_date_time","Trigger_Tag","Q_lable","Q_start_date_time","Q_finish_date_time","NASA_ExigenceMentale","NASA_ExigencePhysique","NASA_ExigenceTemporelle","NASA_Performance","NASA_Effort","NASA_Frustration","SamnPerelli","AS_HeureCouche","AS_HeureLeve","AS_MinutesEndormir","AS_QualiteSommeilVas","AS_TravailSommeil","VigilanceVas","HumeurVas","IrritabiliteVas","DebutQuartTravail","FinQuartTravail","ConditionsClimVas","Incidents","CognerClous","HV_NbCigarettes","HV_NbBoissonsEnergie","HV_NbConsoAlcool","ACT_HeureEnleveActigraphe","ACT_HeureRemisActigraphe","KSS","Appetit","PeriodeRepas","MangéRepas","TypeRepas","SoloDuo","Cour","HeureCour","NbHeuresSup","ActPhyStart","ActPhyEnd",
"Actigraph","2017-06-09 15:01:57","5","KSS","2017-06-09 15:01:57","2017-06-09 15:01:59","","","","","","","","","","","","","","","","","","","","","","","","","","8=Somnolent, demande des efforts pour rester éveillé","","","","","","","","","",""
"Actigraph","2017-06-09 15:01:59","5","KSS","2017-06-09 15:02:00","2017-06-09 15:02:01","","","","","","","","","","","","","","","","","","","","","","","","","","9=Très somnolent, demande de gros efforts pour rester éveillé, lutte contre le sommeil","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:01","3","AS_MinutesEndormir","2017-06-09 15:02:01","2017-06-09 15:02:09","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:01","3","AS_HeureCouche","2017-06-09 15:02:14","2017-06-09 15:02:21","","","","","","","","23:00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:01","3","AS_QualiteSommeilVas","2017-06-09 15:02:21","2017-06-09 15:02:22","","","","","","","","","","","64","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:01","3","AS_TravailSommeil","2017-06-09 15:02:22","2017-06-09 15:02:24","","","","","","","","","","","","2=non","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:01","3","VigilanceVas","2017-06-09 15:02:24","2017-06-09 15:02:25","","","","","","","","","","","","","70","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:01","3","HumeurVas","2017-06-09 15:02:25","2017-06-09 15:02:27","","","","","","","","","","","","","","76","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:01","3","IrritabiliteVas","2017-06-09 15:02:27","2017-06-09 15:02:28","","","","","","","","","","","","","","","76","","","","","","","","","","","","","","","","","","","","",""
"Start of day","2017-06-09 15:02:30","2","AS_HeureCouche","2017-06-09 15:02:30","2017-06-09 15:02:40","","","","","","","","05:00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
